TimeWindow, Subwindow, Flight, RiskCategory, O1, O2
10, 0, Flight12, LOWRISK1, -2.6684263962294153E-16, 2.6684263962294153E-16
10, 0, Flight13, SELECTEE, 8.532230845624545E-15, -8.532230845624545E-15
10, 0, Flight13, UNKNOWN, -2.566915617546126E-16, 2.566915617546126E-16
10, 0, Flight13, LOWRISK1, -9.400185887544509E-15, 9.400185887544509E-15
10, 0, Flight14, SELECTEE, 8.1690329462608E-15, -8.1690329462608E-15
10, 0, Flight14, UNKNOWN, -2.5883291435450044E-16, 2.5883291435450044E-16
10, 0, Flight14, LOWRISK1, -1.1341532361513187E-15, 1.1341532361513187E-15
10, 0, Flight15, SELECTEE, 7.906618930799584E-15, -7.906618930799584E-15
10, 0, Flight15, UNKNOWN, -6.217714641879457E-17, 6.217714641879457E-17
10, 0, Flight15, LOWRISK1, -3.1722449348871853E-15, 3.1722449348871853E-15
10, 0, Flight16, SELECTEE, 5.3435929878940585E-15, -5.3435929878940585E-15
10, 0, Flight16, UNKNOWN, 5.242838189802729E-17, -5.242838189802729E-17
10, 0, Flight16, LOWRISK1, -1.397740388190278E-15, 1.397740388190278E-15
10, 0, Flight17, SELECTEE, 1.1962677989629923E-14, -1.1962677989629923E-14
10, 0, Flight17, UNKNOWN, 1.8385909558301217E-16, -1.8385909558301217E-16
10, 0, Flight17, LOWRISK1, 2.890920070035913E-15, -2.890920070035913E-15
10, 0, Flight18, SELECTEE, -9.499420231526896E-15, 9.499420231526896E-15
10, 0, Flight18, UNKNOWN, 1.3811831668947374E-16, -1.3811831668947374E-16
10, 0, Flight18, LOWRISK1, -2.501114577859086E-16, 2.501114577859086E-16
10, 0, Flight19, SELECTEE, -1.765974868060388E-14, 1.765974868060388E-14
10, 0, Flight19, UNKNOWN, -1.922887718190574E-15, 1.922887718190574E-15
10, 0, Flight19, LOWRISK1, 8.223443032732973E-16, -8.223443032732973E-16
10, 0, Flight20, SELECTEE, 6.1641131631805185E-15, -6.1641131631805185E-15
10, 0, Flight20, UNKNOWN, -9.649769889423644E-16, 9.649769889423644E-16
10, 0, Flight20, LOWRISK1, 2.3058730195861107E-15, -2.3058730195861107E-15
20, 0, Flight1, SELECTEE, -0.036554662892869474, 0.036554662892869474
20, 0, Flight1, UNKNOWN, 1.1162901907004337E-5, -1.1162901907004337E-5
20, 0, Flight1, LOWRISK1, -0.0031143724903665774, 0.0031143724903665774
20, 0, Flight2, SELECTEE, -8.848779420452999E-4, 8.848779420452999E-4
20, 0, Flight2, UNKNOWN, -2.1315986386685904E-5, 2.1315986386685904E-5
20, 0, Flight2, LOWRISK1, -1.3986317745144462E-4, 1.3986317745144462E-4
20, 0, Flight3, SELECTEE, 6.533322041723823E-6, -6.533322041723823E-6
20, 0, Flight3, UNKNOWN, -9.114072343644887E-6, 9.114072343644887E-6
20, 0, Flight3, LOWRISK1, -1.1185816797786436E-5, 1.1185816797786436E-5
20, 0, Flight4, SELECTEE, -3.5211732341371694E-5, 3.5211732341371694E-5
20, 0, Flight4, UNKNOWN, 3.9797439255773065E-6, -3.9797439255773065E-6
20, 0, Flight4, LOWRISK1, -0.0028954955905676973, 0.0028954955905676973
20, 0, Flight5, SELECTEE, -0.00125523385249482, 0.00125523385249482
20, 0, Flight5, UNKNOWN, -4.025523984905976E-5, 4.025523984905976E-5
20, 0, Flight5, LOWRISK1, 8.491489333310349E-5, -8.491489333310349E-5
20, 0, Flight6, SELECTEE, -9.290878768043636E-4, 9.290878768043636E-4
20, 0, Flight6, UNKNOWN, -2.3889401589577962E-5, 2.3889401589577962E-5
20, 0, Flight6, LOWRISK1, 4.127344232043694E-5, -4.127344232043694E-5
20, 0, Flight7, SELECTEE, -2.3761444035738397E-4, 2.3761444035738397E-4
20, 0, Flight7, UNKNOWN, 8.112760873431354E-6, -8.112760873431354E-6
20, 0, Flight7, LOWRISK1, -1.513824666266222E-4, 1.513824666266222E-4
20, 0, Flight8, SELECTEE, -0.036554662892869474, 0.036554662892869474
20, 0, Flight8, UNKNOWN, 5.1943104679900175E-6, -5.1943104679900175E-6
20, 0, Flight8, LOWRISK1, -0.0036658900219828294, 0.0036658900219828294
20, 0, Flight9, SELECTEE, 7.430943073198099E-15, -7.430943073198099E-15
20, 0, Flight9, UNKNOWN, -5.64716390837385E-7, 5.64716390837385E-7
20, 0, Flight9, LOWRISK1, -2.3221525717052913E-6, 2.3221525717052913E-6
20, 0, Flight10, SELECTEE, -2.7194718334439785E-4, 2.7194718334439785E-4
20, 0, Flight10, UNKNOWN, 2.235399705493024E-5, -2.235399705493024E-5
20, 0, Flight10, LOWRISK1, 3.7745280094429237E-5, -3.7745280094429237E-5
20, 0, Flight11, SELECTEE, 1.447676410505087E-14, -1.447676410505087E-14
20, 0, Flight11, UNKNOWN, -5.399511418255065E-6, 5.399511418255065E-6
20, 0, Flight11, LOWRISK1, -0.0050317930099953835, 0.0050317930099953835
20, 0, Flight12, SELECTEE, -0.0013445692925011942, 0.0013445692925011942
20, 0, Flight12, UNKNOWN, 9.90101847499628E-7, -9.90101847499628E-7
20, 0, Flight12, LOWRISK1, 4.729917727020242E-5, -4.729917727020242E-5
20, 0, Flight13, SELECTEE, 1.016515364251558E-14, -1.016515364251558E-14
20, 0, Flight13, UNKNOWN, -2.3194781644494185E-4, 2.3194781644494185E-4
20, 0, Flight13, LOWRISK1, -0.006287878874662588, 0.006287878874662588
20, 0, Flight14, SELECTEE, -9.083515131070536E-4, 9.083515131070536E-4
20, 0, Flight14, UNKNOWN, -1.3917650893646507E-4, 1.3917650893646507E-4
20, 0, Flight14, LOWRISK1, -5.239451567780732E-4, 5.239451567780732E-4
20, 0, Flight15, SELECTEE, -1.732188316397507E-16, 1.732188316397507E-16
20, 0, Flight15, UNKNOWN, -6.557170369013809E-6, 6.557170369013809E-6
20, 0, Flight15, LOWRISK1, -4.144752601409134E-5, 4.144752601409134E-5
20, 0, Flight16, SELECTEE, -3.302243375993266E-6, 3.302243375993266E-6
20, 0, Flight16, UNKNOWN, 2.50437585838422E-5, -2.50437585838422E-5
20, 0, Flight16, LOWRISK1, 6.036926788130664E-5, -6.036926788130664E-5
20, 0, Flight17, SELECTEE, -3.482434920450663E-4, 3.482434920450663E-4
20, 0, Flight17, UNKNOWN, 2.730350336040398E-5, -2.730350336040398E-5
20, 0, Flight17, LOWRISK1, -9.423740150645729E-5, 9.423740150645729E-5
20, 0, Flight18, SELECTEE, -1.2216070952843783E-14, 1.2216070952843783E-14
20, 0, Flight18, UNKNOWN, -1.3787924660244738E-5, 1.3787924660244738E-5
20, 0, Flight18, LOWRISK1, 2.8130714816425625E-5, -2.8130714816425625E-5
20, 0, Flight19, SELECTEE, -2.0435364337968127E-5, 2.0435364337968127E-5
20, 0, Flight19, UNKNOWN, 2.7308762379189215E-5, -2.7308762379189215E-5
20, 0, Flight19, LOWRISK1, 6.11406323042372E-5, -6.11406323042372E-5
