RiskCategory, Payoff, Probability, Utility
SELECTEE, -2.250000000000384, 0.45, -1.012500000000173
UNKNOWN, -2.2500000000001084, 0.35, -0.7875000000000378
LOWRISK1, -2.2500000000152145, 0.2, -0.4500000000030429
,, Defender Utility:,-2.250000000003254
