TimeWindow, Flight, RiskCategory, O1, O2
180, Flight7, LOWRISK1, -1.0E8, -1.0E8
180, Flight8, SELECTEE, -1.0E8, -1.0E8
180, Flight8, UNKNOWN, -1.0E8, -1.0E8
180, Flight8, LOWRISK1, -1.0E8, -1.0E8
180, Flight9, SELECTEE, -1.0E8, -1.0E8
180, Flight9, UNKNOWN, -1.0E8, -1.0E8
180, Flight9, LOWRISK1, -1.0E8, -1.0E8
180, Flight10, SELECTEE, -1.0E8, -1.0E8
180, Flight10, UNKNOWN, -1.0E8, -1.0E8
180, Flight10, LOWRISK1, -1.0E8, -1.0E8
